Destination,Rates
French Guyana Mobile Orange,0.0839
French Polynesia,0.1128
French Polynesia Mobile,0.1806
Gabon,0.303
Gabon Mobile,0.2447
Gabon Mobile Airtel,0.2447
Gabon Mobile Moov,0.3488
Gambia,0.2781
Gambia Mobile,0.2781
Georgia,0.0491
Georgia (Tbilisi),0.0491
Georgia Mobile,0.1334
Georgia Mobile Magtikom,0.1446
Georgia Mobile Mobitel,0.1446
Georgia Mobile Silknet,0.1446
Germany,0.0039
Germany Mob VAS Pers Numb,0.0203
Germany Mobile,0.0201
Germany Mobile E Plus,0.1755
Germany Mobile O2,0.0201
Germany Mobile T Mobile,0.0201
Germany Mobile Vodafone,0.0201
Germany VAS Special Services,0.0071
Ghana,0.0762
Ghana Mobile,0.0801
Ghana Mobile Airtel,0.0801
Ghana Mobile MTN,0.0801
Ghana Mobile OneTouch,0.0723
Ghana Mobile Tigo,0.069
Gibraltar,0.012
Gibraltar Mobile,0.1301
GlobalStar Sat,15
Greece,0.0051
Greece Mobile Cosmote,0.0131
Greece Mobile Vodafone,0.0131
Greece Mobile Wind,0.0131
Greenland,0.1112
Grenada,0.1964
Grenada Mobile,0.1948
Grenada Mobile Digicel,0.1972
Guadeloupe,0.0116
Guadeloupe Mobile,0.024
Guadeloupe Mobile Orange,0.0839
Guam,0.0142
Guatemala,0.0945
Guatemala Mobile,0.1002
Guatemala Mobile Comcel,0.1106
Guatemala Mobile PCS,0.0809
Guatemala Telgua,0.055
Guinea Bissau,0.2325
Guinea Bissau Mobile,0.2627
Guinea Bissau Mobile Areeba,0.2836
Guinea Bissau Mobile Orange,0.3147
Guinea Rep.,0.3648
Guinea Rep. Mobile,0.3746
Guinea Rep. Mobile Areeba,0.2447
Guinea Rep. Mobile Cellcom,0.2253
Guinea Rep. Mobile Gamma,0.3226
Guinea Rep. Mobile Intercel,0.2336
Guinea Rep. Mobile Orange,0.3405
Guinea Rep. Mobile Sotelgui,0.3621
Guyana,0.2258
Guyana Mobile,0.2258
Guyana Mobile Digicel,0.2258
Haiti,0.1995
Haiti Mobile,0.1112
Haiti Mobile Digicel,0.1964
Haiti VAS1,15
Honduras,0.0667
Honduras Mobile,0.0851
Honduras Mobile Celtel,0.1112
Honduras Mobile Digicel,0.0918
Honduras Mobile Megatel,0.0889
Hong Kong,0.0098
Hong Kong Mobile,0.0098
Hungary,0.0038
Hungary (Budapest),0.0038
Hungary Mobile,0.0251
Hungary Mobile T Mobile,0.0251
Hungary Mobile Telenor,0.0251
Iceland,0.0104
Iceland Mobile,0.0174
India,0.006
India (Cities),0.006
India (States),0.006
India Mobile,0.006
India Mobile BSNL,0.006
Indonesia,0.0229
Indonesia (Jakarta),0.0114
Indonesia (Other Cities),0.0153
Indonesia Mobile,0.0147
Inmarsat,15
Inmarsat Aero,15
Inmarsat B,15
Inmarsat B GAN HSD,15
Inmarsat B HSD,15
Inmarsat BGAN,15
Inmarsat M,15
Inmarsat M4 HSD,15
Inmarsat Mini M,15
Iran,0.0371
Iran (Tehran),0.0305
Iran Mobile,0.0338
Iraq,0.1391
Iraq Mobile,0.149
Iraq Mobile Asia Cell,0.1368
Iraq Mobile Korek,0.1728
Iraq Mobile Zain,0.1391
Ireland,0.004
Ireland Mobile,0.0294
Ireland Mobile Meteor,0.0316
Ireland Mobile O2,0.0316
Ireland Mobile Vodafone,0.0316
Ireland VAS,0.0744
Iridium,15
Israel,0.0036
Israel Mobile,0.0109
Italy,0.0035
Italy Mobile,0.0117
Italy Mobile H3G,0.0118
Italy Mobile TIM,0.0118
Italy Mobile Vodafone,0.0118
Italy Mobile Wind,0.0118
Ivory Coast,0.2126
Ivory Coast Fix MTN,0.2485
Ivory Coast Mobile,0.1446
Ivory Coast Mobile Comium,0.1292
Ivory Coast Mobile Moov,0.1891
Ivory Coast Mobile MTN,0.2485
Ivory Coast Mobile Orange,0.2714
Ivory Coast VAS1,0.6104
Ivory Coast VAS2,0.6673
Ivory Coast VAS3,15
Jamaica,0.0857
Jamaica Mobile,0.1392
Jamaica Mobile Digicel,0.1446
Japan,0.0131
Japan Mobile,0.0262
Jersey Islands,0.0033
Jersey Islands Mobile,0.0942
Jordan,0.0727
Jordan Mobile,0.0828
Jordan Mobile Fastlink,0.0828
Jordan Mobile Orange,0.0858
Kazakhstan,0.0038
Kazakhstan (Almaty),0.0038
Kazakhstan Mobile,0.0699
Kazakhstan Premium Services,0.2002
Kenya,0.0567
Kenya (Nairobi),0.0567
Kenya Mobile,0.0889
Kenya Mobile Airtel,0.0338
Kenya Mobile Orange,0.1002
Kenya Mobile Safaricom,0.0338
Kiribati,0.0611
Korea North,0.2313
Korea South,0.0071
Korea South Mobile,0.0098
Korea South Mobile SKT,0.0098
Kuwait,0.0207
Kuwait Mobile,0.0185
Kyrgyzstan,0.0667
Kyrgyzstan Mobile,0.0662
Laos,0.0556
Laos Mobile,0.0556
Laos Mobile Unitel,0.0556
Latvia,0.0153
Latvia Mobile,0.0153
Latvia Mobile Bite Latvija,0.0164
Latvia Mobile Camel,0.2114
Latvia Mobile Telekom Baltija,0.2114
Latvia Premium,0.367
Lebanon,0.0691
Lebanon Mobile,0.107
Lesotho,0.0984
Lesotho Mobile,0.104
Liberia,0.2447
Liberia Mobile,0.2669
Liberia Mobile Cellcom,0.2705
Liberia Mobile MTN,0.2141
Liberia VAS1,15
Libya,0.1334
Libya Mobile,0.1246
Liechtenstein,0.0584
Liechtenstein Mobile,0.1477
Liechtenstein Mobile Orange,0.0855
Liechtenstein VAS1,15
Lithuania,0.0093
Lithuania Mobile,0.0142
Lithuania PRS,0.4004
Lithuania PRS Others,0.4004
Luxembourg,0.0093
Luxembourg Mobile,0.0147
Luxembourg Mobile Orange,0.0174
Macau,0.0365
Macedonia,0.0962
Macedonia Mobile,0.2058
Macedonia VAS1,0.2225
Madagascar,0.3781
Madagascar Mobile,0.3892
Madagascar Mobile Airtel,0.3892
Madagascar Mobile Orange,0.4578
Madagascar VAS1,0.714
Madagascar VAS2,0.7051
Madagascar VAS3,0.5125
Malawi,0.3009
Malawi Mobile,0.0753
Malaysia,0.0065
Malaysia Mobile,0.0129
Maldives,0.6406
Maldives Mobile,0.6406
Maldives VAS2,15
Maldives VAS3,15
Mali,0.1542
Mali Mobile,0.2431
Mali Mobile Orange,0.2543
Mali Orange,0.1303
Malta,0.0068
Malta Mobile,0.0125
Marshall Islands,0.1569
Martinique,0.0116
Martinique Mobile,0.024
Martinique Mobile Orange,0.0839
Mauritania,0.3371
Mauritania Mobile,0.3068
Mauritania Mobile Mattel,0.3368
Mauritania Mobile Mauritel,0.3371
Mauritius,0.1282
Mauritius Mobile,0.1282
Mayotte,0.0462
Mayotte Mobile,0.05
Mayotte Mobile Orange,0.05
Mexico,0.0056
Mexico (Guadalajara),0.005
Mexico (Mexico City),0.0047
Mexico (Monterrey),0.0047
Mexico Equal Access,0.0047
Mexico Mobile,0.025
Mexico Mobile (Cities),0.025
Mexico Mobile Equal Access,0.025
Micronesia,0.0667
Moldova,0.2257
Moldova Mobile,0.2213
Moldova Mobile Moldcell,0.1301
Moldova Mobile Orange,0.1853
Moldova Premium Services,0.3336
Monaco,0.0534
Monaco Mobile,0.1112
Monaco Mobile Kfor,0.2547
Monaco VAS,0.2547
Mongolia,0.0258
Mongolia Mobile,0.0185
Montenegro,0.0845
Montenegro Mobile,0.2558
Montenegro Mobile Telenor,0.2503
Montenegro Mobile T-Mobile,0.2496
Montserrat,0.1558
Morocco,0.0118
Morocco (Casablanca),0.0118
Morocco (Rabat),0.0118
Morocco Meditel,0.0678
Morocco Mob Wana Rest Mobility,0.1669
Morocco Mobile,0.2669
Morocco Mobile IAM,0.2503
Morocco Mobile Meditel,0.2674
Morocco Mobile Wana,0.2447
Morocco Wana,0.0689
Mozambique,0.0393
Mozambique Mobile,0.0614
Mozambique Mobile Vodacom,0.0778
Myanmar,0.1114
Myanmar Mob Ooredoo,0.2275
Myanmar Mobile,0.1114
Myanmar Mobile Telenor,0.2263
Namibia,0.0338
Namibia Mobile,0.0583
Nauru,0.7705
Nepal,0.0964
Nepal Mobile,0.093
Nepal Mobile Roaming,0.093
Netherlands,0.0051
Netherlands Antilles,0.1022
Netherlands Antilles Mobile,0.0928
Netherlands Mobile,0.0229
Netherlands Mobile KPN,0.022
Netherlands Mobile LycaMobile,0.0229
Netherlands Mobile T Mobile,0.022
Netherlands Mobile Vodafone,0.022
Network Global,0.218
Network Global Personal NB,1.526
Network Int Orange Mobistar,15
Network Int Vodafone,15
New Caledonia,0.0667
New Zealand,0.0086
New Zealand Mobile,0.0287
Nicaragua,0.1001
Nicaragua Mobile,0.1669
Nicaragua Mobile Movistar,0.1646
Niger,0.2078
Niger Mobile,0.2078
Niger Mobile Airtel,0.2088
Niger Mobile Moov,0.2154
Niger Mobile Orange,0.2243
Niger VAS1,1.0791
Niger VAS2,15
Nigeria,0.0556
Nigeria (Lagos),0.0572
Nigeria Mobile,0.0633
Nigeria Mobile Airtel,0.0545
Nigeria Mobile Etisalat,0.0519
Nigeria Mobile Globacom,0.0534
Nigeria Mobile MTN,0.0534
Niue Islands,0.3892
Norfolk Islands,1.0011
Norway,0.0065
Norway Fix Special Services,0.0071
Norway Mobile,0.0218
Norway Mobile Netcom,0.0218
Norway Mobile Telenor,0.0218
Oman,0.0556
Oman Mobile,0.1802
Pakistan,0.0279
Pakistan Mobile,0.0338
Pakistan Mobile Mobilink,0.0382
Pakistan Mobile Telenor,0.0311
Pakistan Mobile Ufone,0.0266
Pakistan Mobile Warid,0.0266
Palau,0.0889
Palestine,0.1281
Palestine Mobile,0.148
Panama,0.0193
Panama (Panama City),0.0185
Panama Mobile,0.0392
Panama Premium,15
Papua New Guinea,0.2225
Paraguay,0.0229
Paraguay (Asuncion),0.0223
Paraguay Mobile,0.0354
Paraguay Mobile Claro,0.0233
Paraguay Mobile Personal,0.0189
Paraguay Mobile Tigo,0.0346
Paraguay Mobile Vox,0.0487
Peru,0.0105
Peru (Lima),0.0063
Peru Mobile,0.0469
Peru Mobile Claro,0.0405
Peru Mobile Movistar,0.0306
Peru Rural,0.2002
Peru VAS1,15
Philippines,0.0803
Philippines (Manila),0.0803
Philippines Mobile,0.0901
Philippines Mobile Globe,0.0889
Philippines Mobile Smart,0.0889
Poland,0.0073
Poland (Warsaw),0.0073
Poland Mobile,0.0196
Poland Mobile Cyfrowy,0.013
Poland Mobile Orange,0.0134
Poland Mobile P4,0.013
Poland Mobile Plus,0.0098
Poland Mobile T Mobile,0.013
Portugal,0.0033
Portugal (Azores),0.0033
Portugal (Lisbon),0.0033
Portugal (Madeira),0.0033
Portugal (Porto),0.0033
Portugal Mobile,0.0141
Portugal Mobile Optimus,0.0141
Portugal Mobile TMN,0.0141
Portugal Mobile Vodafone,0.0141
Portugal OLO,0.0033
Puerto Rico,0.0049
Puerto Rico Mobile,0.0049
Qatar,0.1146
Qatar Mobile,0.1212
Reunion Island,0.0116
Reunion Island Mobile,0.024
Reunion Island Mobile Orange,0.0839
Romania,0.0024
Romania (Bucharest),0.0024
Romania Alternative Networks,0.0024
Romania Mobile,0.0126
Romania Mobile Cosmote,0.0116
Romania Mobile Orange,0.0126
Romania Mobile Telemobil,0.0126
Romania Mobile Vodafone,0.0116
Russia,0.0327
Russia (Moscow),0.008
Russia (St. Petersburg),0.0065
Russia Abkhazia,0.1479
Russia GlobalStar,1.962
Russia Mobile,0.109
Russia Mobile Abkhazia,0.1334
Russia Mobile Beeline,0.0278
Russia Mobile Megafon,0.0338
Russia Mobile MTS,0.0327
Russia Mobile Rostelecom,0.1146
Russia Orange,0.012
Russia Zone 2,0.0147
Russia Zone 3,0.0245
Russia Zone 4,0.0238
Rwanda,0.1868
Rwanda Fixed MTN,0.2002
Rwanda Mobile,0.2052
Rwanda Mobile MTN,0.1902
Saipan Islands,0.0038
Samoa US,0.0258
Samoa Western,0.0126
San Marino,0.3815
San Marino VAS Premium SVC,0.7576
Sao Tome & Principe,0.4816
Sao Tome & Principe Mobile,0.4816
Sao Tome & Principe VAS1,15
Saudi Arabia,0.0681
Saudi Arabia (Riyadh),0.0681
Saudi Arabia Mobile,0.0812
Saudi Arabia Mobile Airtel,0.0701
Saudi Arabia Mobile Bravo,0.0701
Saudi Arabia Mobile Lebara,0.0706
Saudi Arabia Mobile Mobily,0.0701
Senegal,0.1101
Senegal Expresso,0.2943
Senegal Mobile,0.3117
Senegal Mobile Expresso,0.1891
Senegal Mobile Orange,0.2518
Senegal VAS1,0.2845
Serbia,0.0839
Serbia Mobile,0.2297
Serbia Mobile MTS,0.2297
Serbia Mobile Telenor,0.2297
Seychelles,0.1824
Seychelles Mobile,0.5388
Seychelles VAS1,0.3815
Seychelles VAS2,0.3815
Sierra Leone,0.3803
Sierra Leone Mobile,0.3803
Sierra Leone Mobile Airtel,0.3747
Sierra Leone VAS1,15
Sierra Leone VAS2,15
Sierra Leone VAS3,15
Singapore,0.0051
Singapore Mobile,0.0056
Slovakia,0.0044
Slovakia Mobile,0.0654
Slovakia Mobile Orange,0.0717
Slovakia Mobile T Mobile,0.0654
Slovenia,0.0114
Slovenia Mobile,0.0303
Slovenia Mobile Ipkonet,0.2387
Slovenia Mobile Mobitel,0.0303
Slovenia Mobile Special Num,0.012
Slovenia Mobile Special Num 2,0.012
Slovenia Mobile Simobil,0.0303
Solomon Islands,0.7704
Solomon Islands Mobile,0.7798
Solomon Islands VAS1,15
Somalia,0.2002
Somalia Mobile,0.2002
South Africa,0.015
South Africa Mobile,0.0305
South Africa Mobile MTN,0.0338
South Africa Mobile Vodacom,0.0207
South Africa VAS Special Serv,0.0416
South Sudan,0.149
South Sudan Mobile,0.1502
South Sudan Mobile Vivacell,0.1701
Sri Lanka,0.0945
Sri Lanka Mobile,0.0778
Sri Lanka Mobile Airtel,0.0846
Sri Lanka Mobile Dialog,0.0812
St Helena,1.5442
St Kitts & Nevis,0.1953
St Kitts & Nevis Mob Digicel,0.1977
St Kitts & Nevis Mobile,0.1977
St Lucia,0.1442
St Lucia Mobile,0.195
St Lucia Mobile Digicel,0.1974
St Maarten,0.0556
St Maarten Mobile,0.0852
St Pierre & Miquelon,0.1458
St Pierre & Miquelon Mobile,0.3504
St Vincent & Gren Mob Digicel,0.0846
St Vincent & Grenadines,0.0846
St Vincent & Grenadines Mob,0.0846
Sudan,0.0778
Sudan Mobile,0.0701
Sudan Mobile Airtel,0.0834
Sudan Mobile MTN,0.1354
Sudan Mobile VivaCell,0.1394
Suriname,0.0862
Suriname Mobile,0.1384
Suriname Mobile Digicel,0.1368
Swaziland,0.0299
Swaziland Mobile,0.108
Sweden,0.0022
Sweden Mobile,0.0114
Sweden Mobile Comviq,0.0114
Sweden Mobile Telenor,0.0114
Sweden Mobile Telia,0.0114
Switzerland,0.0098
Switzerland Mobile,0.1446
Switzerland Mobile LycaMobile,0.048
Switzerland Mobile Orange,0.0838
Switzerland Mobile Sunrise,0.0845
Switzerland Mobile Swisscom,0.0706
Switzerland VAS Corp Services,0.0131
Switzerland VAS1,0.2354
Syria,0.0663
Syria Mobile,0.0925
Taiwan,0.0093
Taiwan Mobile,0.0742
Tajikistan,0.1034
Tajikistan Mobile,0.0656
Tanzania,0.2225
Tanzania Mobile,0.1857
Tanzania Mobile Airtel,0.187
Tanzania Mobile Mobitel,0.178
Tanzania Mobile Vodacom,0.1891
Tanzania Mobile Zantel,0.1857
Thailand,0.0048
Thailand Mobile,0.0046
Thuraya Sat,15
Togo,0.218
Togo Mobile,0.1978
Togo Mobile Telecel,0.2246
Togo VAS1,15
Tokelau,0.5561
Tonga,0.2143
Trinidad & Tobago,0.036
Trinidad & Tobago Mob Digicel,0.1112
Trinidad & Tobago Mobile,0.1334
Tunisia,0.3182
Tunisia Mobile,0.3156
Tunisia Mobile Orange,0.327
Tunisia Mobile Orascom,0.2781
Tunisia Orange,0.327
Turkey,0.0251
Turkey (Cities),0.0229
Turkey Mob Turkcell N. Cyprus,0.0812
Turkey Mob Vodafone N. Cyprus,0.0556
Turkey Mobile,0.0725
Turkey Mobile Turkcell,0.0695
Turkey Mobile Vodafone,0.0695
Turkey N. Cyprus,0.0283
Turkey Nomadic 444 SVS,0.0229
Turkmenistan,0.0778
Turks & Caicos Isl Mob Digicel,0.1957
Turks & Caicos Islands,0.0126
Turks & Caicos Islands Mobile,0.1567
Tuvalu,0.3085
U.S. Virgin Islands,0.0033
Uganda,0.1891
Uganda Mobile,0.1223
Uganda Mobile Airtel,0.149
Uganda Mobile MTN,0.1558
Uganda Mobile Orange,0.2439
Ukraine,0.0703
Ukraine (Kiev),0.0839
Ukraine (Odessa),0.0851
Ukraine Mobile,0.1995
Ukraine Mobile Astelit,0.1446
Ukraine Mobile Kievstar,0.1223
Ukraine Mobile UMC,0.1502
United Arab Emirates,0.0968
United Arab Emirates Mobile,0.0968
United Kingdom,0.0019
United Kingdom FreePhone,0.0035
United Kingdom Local Rate,0.0035
United Kingdom Mob Hutchison,0.012
United Kingdom Mobile,0.1112
United Kingdom Mobile LycaMob,0.0213
United Kingdom Mobile O2,0.012
United Kingdom Mobile Orange,0.0114
United Kingdom Mobile T Mobile,0.012
United Kingdom Mobile Vodafone,0.012
United Kingdom Personal,0.2059
United Kingdom VAS Fix NTS,0.1052
United Kingdom VAS NTS,0.1669
United Kingdom VAS Orange UK,0.0992
United Kingdom VAS1,0.0046
United Kingdom Wide Numbers,0.0146
United States,0.0033
United States Alaska,0.0218
United States Freephone,0.011
United States Hawai,0.0055
Uruguay,0.042
Uruguay (Montevideo),0.0291
Uruguay Mobile,0.0778
Uruguay Mobile Antel,0.122
Uruguay Mobile Claro,0.0634
Uruguay Mobile Movistar,0.0611
Uzbekistan,0.036
Uzbekistan Mobile,0.0251
Vanuatu,0.1223
Vanuatu Mobile,0.1368
Vanuatu Mobile Digicel,0.1368
Vanuatu VAS1,15
Vatican,0.069
Venezuela,0.0122
Venezuela (Caracas),0.0122
Venezuela Fix CANTV,0.0122
Venezuela Mobile,0.0501
Venezuela Mobile Digitel,0.0284
Venezuela Mobile Movilnet,0.0207
Venezuela Mobile Movistar,0.0153
Venezuela Telefonica (Caracas),0.0122
Venezuela Telefonica ROC,0.0338
Vietnam,0.0549
Vietnam Mobile,0.0549
Vietnam Mobile Viettel,0.0549
Vietnam Mobile VNPT,0.0549
Wallis and Futuna,0.1978
Yemen,0.0934
Yemen Mobile,0.0889
Zambia,0.0545
Zambia Mobile,0.0918
Zambia Mobile Airtel,0.0889
Zambia Mobile MTN,0.0773
Zimbabwe,0.0714
Zimbabwe Mobile,0.2625
Zimbabwe Mobile Econet,0.3003
Zimbabwe VAS Premium SVC,0.0765
